CityName,City_Name_en,C2017
上海市,Shanghai,7.227516623
重庆市,Chongqing,5.772601624
天津市,Tianjin,5.633541629
苏州市,Suzhou ,4.411496865
鄂尔多斯市,Ordos ,3.925096425
唐山市,Tangshan ,3.831841031
石家庄市,Shijiazhuang ,3.564948758
武汉市,Wuhan,3.34417655
成都市,Chengdu,3.320963355
保定市,Baoding ,3.221703575
沈阳市,Shenyang ,3.068510397
呼伦贝尔市,Huron Bell ,3.028846338
沧州市,Cangzhou ,2.994355103
潍坊市,Weifang ,2.941053701
邯郸市,Handan,2.902111902
郑州市,Zhengzhou ,2.791834724
青岛市,Qingdao,2.692691546
呼和浩特市,Hohhot ,2.67874969
南京市,Nanjing,2.634591151
长沙市,Changsha ,2.59824363
长春市,Changchun ,2.555046035
广州市,Guangzhou,2.540075125
银川市,Yinchuan,2.456269921
临沂市,Linyi ,2.448573589
廊坊市,Langfang ,2.405763977
烟台市,Yantai ,2.392221085
宁波市,Ningbo ,2.372809164
杭州市,Hangzhou,2.3422011
济南市,Jinan ,2.311534542
南通市,Nantong ,2.276397487
北京市,Beijing,2.255934513
大连市,Dalian,2.24042301
无锡市,Wuxi ,2.200580523
临汾市,Linyi ,2.19720417
榆林市,Yulin ,2.16368825
贵阳市,Guiyang ,2.15970401
包头市,Baotou ,2.136267202
泉州市,Quanzhou ,2.12606486
赤峰市,Chifeng ,2.092708981
邢台市,Xintai ,2.058360881
徐州市,Xuzhou ,2.053133232
延安市,Yan'an ,2.044261083
济宁市,Jining ,2.042956829
盐城市,Yancheng ,2.027972575
吕梁市,Lu Liang ,1.84132993
哈尔滨市,Harbin,1.813317127
佛山市,Foshan ,1.787564937
昆明市,Kunming ,1.784779393
阿克苏地区,Aksu region,1.779264807
西安市,Xi'an,1.712214963
南阳市,Nanyang ,1.699700264
巴音郭楞蒙古自治州,Bayin Guolong,1.675154222
东莞市,Dongguan ,1.653034017
德州市,Dezhou,1.641118494
南宁市,Nanning,1.635044078
滨州市,Binzhou ,1.634383961
常州市,Changzhou ,1.626026925
福州市,Fuzhou ,1.620344946
新乡市,Xinxiang ,1.597437904
扬州市,Yangzhou ,1.575137583
东营市,Dongying ,1.574898312
洛阳市,Luoyang ,1.557292885
淄博市,Zibo ,1.555403716
大同市,Datong ,1.552870646
菏泽市,Heze,1.53787253
泰州市,Taizhou ,1.501803389
兰州市,Lanzhou ,1.483716042
合肥市,Hefei ,1.481823724
惠州市,Huizhou ,1.480303556
通辽市,Tongliao ,1.476903715
金华市,Jinhua ,1.467735957
昌吉回族自治州,Changji,1.466208575
温州市,Wenzhou,1.46267314
太原市,Taiyuan ,1.459964864
晋中市,Jinzhong ,1.443572282
南昌市,Nanchang ,1.434981339
嘉兴市,Jiaxing ,1.431713527
聊城市,Liaocheng,1.430046759
锡林郭勒盟,Xilin Guole,1.428939641
安阳市,Anyang ,1.423069782
吉林市,Jilin ,1.417120964
乌兰察布市,Ulanchab ,1.416898798
台州市,Taizhou ,1.392374573
赣州市,Ganzhou ,1.365371281
漳州市,Zhangzhou ,1.356036561
遵义市,Zunyi ,1.35483134
运城市,Yuncheng,1.351006231
吴忠市,Wuzhong ,1.342933334
张家口市,Zhangjiakou ,1.341435602
周口市,Zhoukou ,1.333478899
六盘水市,Liupanshui,1.3293701
深圳市,Shenzhen,1.315816962
渭南市,Weinan,1.312009836
威海市,Weihai,1.306846221
泰安市,Tai'an ,1.305814721
平顶山市,Pingdingshan ,1.305512145
商丘市,Shangqiu ,1.303916396
绍兴市,Shaoxing ,1.29400411
鞍山市,Anshan ,1.277134468
连云港市,Lianyungang ,1.27560846
衡水市,Hengshui ,1.266238664
淮安市,Huai'an ,1.251708371
忻州市,Yizhou ,1.245772487
长治市,Changzhi ,1.23203653
郴州市,Chenzhou ,1.217789163
江门市,Jiangmen ,1.211413594
铁岭市,Tieling ,1.186038906
秦皇岛市,Qinhuangdao ,1.183792391
镇江市,Zhenjiang ,1.180866109
襄阳市,Xiangyang ,1.177838154
咸阳市,Xianyang ,1.151198661
大庆市,Daqing ,1.140485707
宿迁市,Suqian ,1.129044438
阜阳市,Puyang ,1.125082639
驻马店市,Zhumadian,1.123297586
滁州市,Chuzhou ,1.121117693
晋城市,Jincheng,1.108651639
宜昌市,Yichang ,1.103125259
黄冈市,Huanggang ,1.062322174
伊犁哈萨克自治州,Ili,1.050350609
巴彦淖尔市,Bayangar ,1.045179554
岳阳市,Yueyang ,1.04159019
四平市,Siping ,1.035486117
喀什地区,Kashgar,1.031085681
许昌市,Xuchang ,1.013390367
九江市,Jiujiang ,1.007219016
盘锦市,Panjin ,1.003919911
湖州市,Huzhou ,1.000940991
曲靖市,Qujing ,0.999064345
焦作市,Jiaozuo,0.999062815
乌海市,Wuhai ,0.996654613
上饶市,Shangrao,0.988699693
乌鲁木齐市,Urumqi,0.988535597
衡阳市,Hengyang ,0.98591505
营口市,Yingkou ,0.982914328
枣庄市,Zaozhuang,0.967919768
柳州市,Liuzhou ,0.962910658
黔西南布依族苗族自治州,Qianxinan,0.961237333
锦州市,Jinzhou ,0.954696296
中山市,Zhongshan ,0.954457857
濮阳市,Puyang ,0.949498141
石嘴山市,Shizuishan,0.948725102
辽阳市,Liaoyang ,0.932399591
开封市,Kaifeng ,0.932046638
巢湖市,Chaohu ,0.9273374
绵阳市,Mianyang ,0.920343366
中卫市,Zhongwei ,0.910728586
攀枝花市,Panzhihua ,0.908490961
宜春市,Yichun ,0.898690978
葫芦岛市,Hulu Island ,0.894262267
克拉玛依市,Kramay ,0.888276805
黔南布依族苗族自治州,Qiannan,0.886938582
朝阳市,Chaoyang ,0.884526404
株洲市,Zhuzhou ,0.882687762
宿州市,Suzhou ,0.875448473
常德市,Changde ,0.871838727
荆州市,Jingzhou ,0.869248721
孝感市,Xiaogan,0.86869705
抚顺市,Fushun ,0.858424313
汕头市,Shantou ,0.852959513
承德市,Chengde ,0.8517417
绥化市,Suihua,0.84223052
齐齐哈尔市,Qiqihar,0.841858179
朔州市,Suzhou ,0.839843984
德阳市,Deyang ,0.838719213
厦门市,Xiamen ,0.83849199
塔城地区,Tacheng,0.831094063
延边朝鲜族自治州,Yanbian,0.823454882
大理白族自治州,Dali,0.815997184
清远市,Qingyuan ,0.815392065
桂林市,Guilin ,0.815213239
红河哈尼族彝族自治州,Honghe,0.788197744
湘潭市,Xiangtan ,0.782901381
湛江市,Zhanjiang ,0.781847616
揭阳市,Jieyang ,0.768796321
黔东南苗族侗族自治州,Qiandongnan,0.768509854
毕节地区,Bijie,0.768024061
日照市,Rizhao ,0.767553357
凉山彝族自治州,Liangshan,0.756940522
六安市,Liu'an,0.752420512
