Year,ClimateEvent,Label,Value
1993,Sea Level Rise,Sea Height Variation (mm),-34.50756757
1994,Sea Level Rise,Sea Height Variation (mm),-30.53243243
1995,Sea Level Rise,Sea Height Variation (mm),-27.35918919
1996,Sea Level Rise,Sea Height Variation (mm),-25.28861111
1997,Sea Level Rise,Sea Height Variation (mm),-21.25486486
1998,Sea Level Rise,Sea Height Variation (mm),-23.63405405
1999,Sea Level Rise,Sea Height Variation (mm),-20.02702703
2000,Sea Level Rise,Sea Height Variation (mm),-16.77810811
2001,Sea Level Rise,Sea Height Variation (mm),-11.20324324
2002,Sea Level Rise,Sea Height Variation (mm),-7.07
2003,Sea Level Rise,Sea Height Variation (mm),-3.705945946
2004,Sea Level Rise,Sea Height Variation (mm),-1.745135135
2005,Sea Level Rise,Sea Height Variation (mm),3.045945946
2006,Sea Level Rise,Sea Height Variation (mm),4.394166667
2007,Sea Level Rise,Sea Height Variation (mm),5.102432432
2008,Sea Level Rise,Sea Height Variation (mm),7.278611111
2009,Sea Level Rise,Sea Height Variation (mm),12.38297297
2010,Sea Level Rise,Sea Height Variation (mm),13.68216216
2011,Sea Level Rise,Sea Height Variation (mm),13.02756757
2012,Sea Level Rise,Sea Height Variation (mm),23.9172973
2013,Sea Level Rise,Sea Height Variation (mm),26.33621622
2014,Sea Level Rise,Sea Height Variation (mm),29.98666667
2015,Sea Level Rise,Sea Height Variation (mm),40.97297297
2016,Sea Level Rise,Sea Height Variation (mm),43.23837838
2017,Sea Level Rise,Sea Height Variation (mm),44.34486486
2018,Sea Level Rise,Sea Height Variation (mm),48.67135135
2019,Sea Level Rise,Sea Height Variation (mm),55.63972973
2020,Sea Level Rise,Sea Height Variation (mm),56.57083333
1880,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.08
1881,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.12
1882,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.16
1883,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.2
1884,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.23
1885,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.26
1886,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.27
1887,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.27
1888,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.26
1889,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.25
1890,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.25
1891,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.25
1892,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.26
1893,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.26
1894,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.24
1895,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.22
1896,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.2
1897,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.18
1898,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.16
1899,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.17
1900,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.2
1901,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.23
1902,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.25
1903,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.28
1904,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.31
1905,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.33
1906,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.36
1907,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.37
1908,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.39
1909,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.41
1910,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.41
1911,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.39
1912,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.35
1913,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.32
1914,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.31
1915,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.3
1916,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.29
1917,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.29
1918,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.3
1919,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.29
1920,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.28
1921,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.26
1922,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.25
1923,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.24
1924,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.23
1925,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.22
1926,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.22
1927,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.21
1928,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.2
1929,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.19
1930,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.19
1931,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.19
1932,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.18
1933,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.17
1934,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.16
1935,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.14
1936,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.11
1937,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.07
1938,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.02
1939,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.03
1940,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.06
1941,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.09
1942,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.1
1943,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.1
1944,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.07
1945,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.04
1946,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0
1947,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.04
1948,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.07
1949,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.08
1950,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.08
1951,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.07
1952,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.07
1953,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.07
1954,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.07
1955,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.06
1956,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.05
1957,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.04
1958,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.01
1959,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.01
1960,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.03
1961,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.01
