Country,Year,month,date,latitude,longitude,temperature,pop,pop1
Abohar,4,May,05/01/2003,29.7428 ,73.8462,33.493999,130603,2.6939006
Abohar,9,May,05/01/2008,29.7428 ,73.8462,33.182999,130603,2.6939006
Abohar,18,May,05/01/2017,29.7428 ,73.8462,34.984001,130603,2.6939006
Abohar,10,May,05/01/2009,29.7428 ,73.8462,34.702999,130603,2.6939006
Abohar,13,May,05/01/2012,29.7428 ,73.8462,34.299999,130603,2.6939006
Abohar,14,May,05/01/2013,29.7428 ,73.8462,34.742001,130603,2.6939006
Abohar,2,May,05/01/2001,29.7428 ,73.8462,34.612,130603,2.6939006
Abohar,6,May,05/01/2005,29.7428 ,73.8462,32.375,130603,2.6939006
Abohar,5,May,05/01/2004,29.7428 ,73.8462,34.199001,130603,2.6939006
Abohar,16,May,05/01/2015,29.7428 ,73.8462,34.370998,130603,2.6939006
Abohar,19,May,05/01/2018,29.7428 ,73.8462,34.797001,130603,2.6939006
Abohar,15,May,05/01/2014,29.7428 ,73.8462,32.479,130603,2.6939006
Abohar,7,May,05/01/2006,29.7428 ,73.8462,35.955002,130603,2.6939006
Abohar,1,May,05/01/2000,29.7428 ,73.8462,35.931999,130603,2.6939006
Abohar,8,May,05/01/2007,29.7428 ,73.8462,34.646,130603,2.6939006
Abohar,21,May,05/01/2020,29.7428 ,73.8462,33.318001,130603,2.6939006
Abohar,11,May,05/01/2010,29.7428 ,73.8462,35.562,130603,2.6939006
Abohar,3,May,05/01/2002,29.7428 ,73.8462,35.646,130603,2.6939006
Abohar,20,May,05/01/2019,29.7428 ,73.8462,33.303001,130603,2.6939006
Abohar,17,May,05/01/2016,29.7428 ,73.8462,35.428001,130603,2.6939006
Abohar,12,May,05/01/2011,29.7428 ,73.8462,35.222,130603,2.6939006
Achalpur,8,May,05/01/2007,21.7021 ,77.0192,34.834,111278,2.8468959
Achalpur,19,May,05/01/2018,21.7021 ,77.0192,36.465,111278,2.8468959
Achalpur,21,May,05/01/2020,21.7021 ,77.0192,35.467999,111278,2.8468959
Achalpur,5,May,05/01/2004,21.7021 ,77.0192,34.486,111278,2.8468959
Achalpur,1,May,05/01/2000,21.7021 ,77.0192,33.224998,111278,2.8468959
Achalpur,20,May,05/01/2019,21.7021 ,77.0192,35.691002,111278,2.8468959
Achalpur,11,May,05/01/2010,21.7021 ,77.0192,36.386002,111278,2.8468959
Achalpur,16,May,05/01/2015,21.7021 ,77.0192,35.594002,111278,2.8468959
